SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
514211,SUMEET INDUS,T ,Q,4.09,4.09,4.09,4.09,4.09,3.90,46,30959,126622.00,
514215,BINNY LTD.  ,XT,Q,126.00,129.90,125.00,128.40,128.95,126.00,31,1463,184747.00,
514223,RAMGOPAL POL,XT,Q,1.19,1.19,1.19,1.19,1.19,1.25,8,1537,1829.00,
514234,SANGAM INDIA,T ,Q,78.50,81.25,78.50,79.00,79.00,79.00,8,367,29076.00,
514240,KUSHIND     ,X ,Q,1.83,1.83,1.82,1.82,1.82,1.83,2,150,274.00,
514248,SREECHEM RES,P ,Q,8.46,8.46,8.46,8.46,8.46,8.06,5,700,5922.00,
514264,SEASONS TEXT,XT,Q,5.96,6.26,5.68,6.26,6.26,5.97,8,3454,19933.00,
514266,ZENITH FIBRE,X ,Q,38.25,40.00,38.25,38.35,38.35,38.15,4,534,21258.00,
514272,BHILWARA SP.,X ,Q,14.00,14.40,14.00,14.35,14.35,14.50,9,20500,294600.00,
514274,AARVEE DENIM,B ,Q,17.55,18.25,17.50,17.50,17.50,18.45,4,1450,25905.00,
514286,ASHIMA LTD. ,B ,Q,15.09,15.25,14.54,14.65,14.65,15.23,95,11542,171196.00,
514300,PIONEER EMB ,B ,Q,39.90,39.90,39.15,39.60,39.60,39.50,8,687,27180.00,
514302,VIPPY SPIN. ,X ,Q,40.70,49.00,40.70,45.50,45.50,45.00,14,1583,71307.00,
514312,JAY HIND SYN,XT,Q,2.38,2.62,2.38,2.62,2.62,2.50,5,2809,6848.00,
514316,RAGHUVIR SYN,X ,Q,194.00,194.00,194.00,194.00,194.00,204.00,1,3,582.00,
514322,KAMADGIRI   ,X ,Q,29.90,29.90,29.50,29.50,29.50,29.95,5,470,13988.00,
514330,ONEGLOBAL   ,X ,Q,4.86,4.86,4.86,4.86,4.86,4.77,1,100,486.00,
514332,NEOINFRA    ,X ,Q,15.00,15.15,15.00,15.15,15.15,15.35,7,6400,96450.00,
514354,PREMIER POLY,B ,Q,37.80,38.40,37.80,38.40,38.40,38.20,23,2451,93190.00,
514360,KRRAIL      ,X ,Q,14.50,14.74,13.25,13.83,13.83,14.25,17,803,11162.00,
